date,district,street,crime
24.06.2024,Torgau,Leipziger Wall,Verkehrsunfall mit Personenschaden
25.06. 16:55 Uhr,Leipzig Gohlis,,Telefonbetrug mit angeblichem Reiseportal
24.06.24,Taucha,,Einbruch in Kindertagesstätte
25.06.2024,Grimma,Friedrich-Oettler-Straße,Verwenden von Kennzeichen verfassungswidriger Organisationen
24.06.2024,Leipzig (Volkmarsdorf),,Einbruch in Farbenfachhandel
19.06.2024 16:30 - 16:35 Uhr,Grimma (August-Bebel-Straße/Kleiststraße),,Zeugenaufruf - Unfallflucht in Grimma
24.06.2024 11:15 Uhr,Leipzig (Engelsdorf),Riesaer Straße 102,Zeugenaufruf – Unfallflucht in Engelsdorf
