date,district,street,crime
21.01.2025,Leipzig (Zentrum-Nord),Eutritzscher Straße,Beschuldigter nach schwerem Raub in Untersuchungshaft
05.02.2025,Partenstein (Pomßen),Hauptstraße,Geschwindigkeitskontrolle am Schulweg
07.02.2025,Leipzig (Holzhausen),Liebertwolkwitzer Straße/Feldstraße,Verkehrsunfall in Holzhausen
