date,district,street,crime
19.05.2024,Leipzig (Neustadt-Neuschönefeld),Wurzner Straße,Auseinandersetzung in Bar
19.05.2024,Belgern-Schildau (Sitzenroda),Hauptstraße,Zigarettenautomat angegriffen
19.05.2024,Groitzsch,Nordstraße,Brand eines VW Fox
18.05.2024,Leipzig (Grünau-Mitte),,Wahlkreisbüro beschmiert
19.05.2024,Leipzig (Mockau-Süd),Mockauer Straße,Wohnungsbrand
18.05.2024,Leipzig (Connewitz),Wolfgang-Heinze-Straße/ Mathildenstraße,Brand einer Warnbake
18.05.2024,Grimma,Bahnhofstraße,Verwenden von Kennzeichen verfassungswidriger Organisationen
18.05.2024,"BAB 14 km 94,2 i.R. Dresden | zw. Schkeuditzer Kreuz und Anschlussstelle Schkeuditz/Flughafen",,Von der Fahrbahn abgekommen - Zeugenaufruf
17.05.2024,Markkleeberg,Querstraße,Schriftzug gesprüht
17.05.2024,Markkleeberg,Städtelner Straße,Audi R8 gestohlen
