date,district,street,crime
02.02.2024,Leipzig (Burghausen-Rückmarsdorf),Merseburger Straße 200,Räder von Fahrzeugen entwendet
03.02.2024,Leipzig (Engelsdorf),Hans-Weigel-Straße,Handtasche geraubt
04.02.2024,Leipzig (Schleußig),Dammstraße,Brandstiftung
04.02.2024,Leipzig (Zentrum-West),Jahnallee,Fußgänger bei Unfall verletzt
04.02.2024,Stadt Leipzig,Landkreise Leipzig und Nordsachsen,Versammlungsgeschehen am Sonntag
