date,district,street,crime
29.11.2024,Leipzig (Zentrum-Nord),Am Sportforum,Kontrolltag zur Drogenerkennung im Straßenverkehr
28.11.2024,Leipzig (Eutritzsch),Wittenberger Straße,Autofahrerin mit über 4 Promille
28.11.2024,Eilenburg,Wurzener Platz / Torgauer Landstraße,Betrunkener Autofahrer flüchtet vom Unfallort
27.11.2024,Leipzig (Reudnitz-Thonberg),Oststraße,Einbruch in Geschäft
28.11.2024,Leipzig (Zentrum-West),Ferdinand- Rhode- Straße/ Wächterstraße,Diebstahl eines VW Multivan
25.10.2024,Oschatz,,Ladungsdiebstahl
29.11.2024,Taucha,,Versuchter Diebstahl eines Wohnmobils
polizeibekannt: 28.11.2024,Leipzig (Reudnitz-Thonberg),,Verfassungsfeindliche Graffiti
28.11.2024,Leipzig (Seehausen),Seehausener Allee,Fußgänger bei Unfall verletzt
28.11.2024,Krostitz (Krensitz),,Verkehrsunfall mit einer verletzten Person
28.11.2024,Mockrehna (Gräfendorf),K8985,Fundmunition
28.11.2024,Schkeuditz,Auenblick,Diebstahl eines Lexus RX450H - Fahrzeug aufgefunden
