date,district,street,crime
21.08.2024,Leipzig (Leutzsch),Am Sportpark 2,Polizeieinsatz anlässlich eines Regionalliga Fußballspiels
20.08.2024,Schkeuditz (Glesien),Werlitzscher Straße,Verkehrsunfall mit verletztem Motorradfahrer - Zeugenaufruf
16.08.2024,Leipzig (Zentrum-Nord),Ernst-Pinkert-Straße/Pfaffendorfer Straße,Verkehrsunfall – Zeugen gesucht
18.08.2024,Leipzig (Grünau),Karlsruher Straße,Einbruch in Gaststätte
20.08.2024,Leipzig (Zentrum-Südost),,Einbruch in Dönergeschäft
20.08.2024,Markkleeberg,Hohe Straße,Verkehrsunfall Pkw gegen Fußgänger
