date,district,street,crime
11.08.2024,Borna,Altenburger Straße,Verkehrsunfall zwischen Pkw und Kleinkraftrad
11.08.2024,Leipzig (Gohlis-Nord),Landsberger Straße,Verkehrsunfall mit verletzter Radfahrerin
11.08.2024,Schkeuditz,"BAB 9 km 121,8 in Fahrtrichtung München",Unfall auf der Bundesautobahn 9
12.08.2024,Leipzig (Wahren),Stahmelner Straße/ Pittlerstraße,Verkehrsunfall Pkw gegen Kleinkraftrad
11.08.2024,Leipzig (Zentrum - West),Kolonnadenstraße,Wohnungsbrand
11.08.2024,Leipzig (Zentrum),Kurt-Masur-Platz,Verstoß gegen das Betäubungsmittel- und Waffengesetz
11.08.2024,Leipzig (Stötteritz),Arnoldstraße / Ferdinand-Jost-Straße,Verfassungsfeindliche Ausrufe
11.08.2024,Leipzig (Zentrum-Nord),Parthenstraße,Wahlplakate abgerissen und angezündet
