date,district,street,crime
25.02.2025,Leipzig (Volkmarsdorf),,Durchsuchungen von Gewerbeeinrichtungen
24.02.2025,BAB 14,Richtung Halle/Saale,Lkw mit mehreren Verstößen festgestellt
25.02.2025,Grimma,Wurzener Straße,Tatverdächtiger begeht mehrere Straftaten
24.02.2025,Leipzig (Knautkleeberg-Knauthain),,Fassade beschädigt
25.02.2025,Delitzsch,Securiusstraße,Wohnungseinbruchdiebstahl
polizeibekannt: 24.02.2025,Schkeuditz,An der Autobahn,Verfassungsfeindliche Graffiti
25.02.2025,Leipzig (Connewitz),S-Bahnhof Connewitz/ Straßenbahnhaltestellte,Graffito mit politischem Bezug
26.02.2025,Leipzig (Altlindenau),,Einbruch in Schmuckgeschäft
