date,district,street,crime
08.04.2024,Leipzig,Willy-Brandt-Platz (Hauptbahnhof),Jugendliche nach Körperverletzungs- und Raubdelikten in Haft
09.04.2024,Beilrode,,Betrügerische Anrufe in Beilrode
09.04.2024,Leipzig (Eutritzsch),Salzmannstraße 13,Raubdelikt
08.04.2024,Leipzig (Heiterblick),Torgauer Straße 331C,Diebstahl Transporter Iveco
09.04.2024,BAB 14,,Unfallstelle zu spät bemerkt
09.04.2024,Naunhof,Straße des 9. November/Zum Grillensee,Hohe Geschwindigkeitsüberschreitung bei Blitz für Kids
09.04.2024,Leipzig (Zentrum),Willy-Brandt-Platz 10,Versuchtes Tötungsdelikt
