date,district,street,crime
29.03.2024,Torgau,Goethestraße,Wohnungseinbruch – Drei Tatverdächtige gestellt
29.03.2024,Delitzsch,B184,Verfolgungsfahrt in Delitzsch
29.03.2024,Leipzig (Grünau-Ost),,Mobiles Geschwindigkeitsmessgerät beschmiert
29.03.2024,Leipzig (Zentrum-Nordwest),Waldstraße,Sachbeschädigung - drei Tatverdächtige gestellt
29.03.2024,Colditz,,Einbruch in Firma
27.03.2024,Leipzig (Connewitz),Wolfgang-Heinze-Straße,Tesla großflächig beschmiert
Zeit 28.03.2024,Leipzig (Zentrum-West),Sebastian-Bach-Straße,Verkehrsunfall mit einer schwer verletzten Person
27.03.2024,Krostitz | Staatsstraße 4,zwischen Kospa und Krostitz,Motorradfahrer bei zivilen Verkehrsüberwachungsmaßnahmen gestellt
27.03.2024,Leipzig (Reudnitz-Thonberg),Charlottenstraße,Toyota gestohlen
