date,district,street,crime
"15.11.2024,21:50 Uhr bis 15.11.2024",Leipzig (Sellerhausen-Stünz),Püchauer Straße,Raub einer Designerhandtasche
17.11.2024,Leipzig (Lindenau),,Einbruch in Spätverkauf
17.11.2024,Leipzig (Eutritzsch),Schladitzer Straße,Brand Pkw
16.11.2024,Leipzig (Lindenau),,Einbruch in Café
17.11.2024,Leipzig (Zentrum-Südost),An den Tierkliniken,Fanschal geraubt – Tatverdächtiger gestellt
16.11.2024,Leipzig (Neustadt-Neuschönefeld),Eisenbahnstraße,Diebstahl aus Hotel - zwei Tatverdächtige
17.11.2024,Leipzig (Plagwitz),Merseburger Straße,Tatverdächtiger beschädigt Fahrzeuge
17.11.2024,Bundesautobahn 14,in Richtung Dresden,Verkehrsunfall auf Autobahn
12.11.2024,Leipzig (Zentrum),Willy-Brandt-Platz,Raubdelikt mit Zeugenaufruf
17.11.2024,Dreiheide (Süptitz),,Gestohlener Audi A5
