date,district,street,crime
Zeit 31.05.2024,Leipzig (Großzschocher),Schönauer Straße,Einbruch in Tankstelle
31.05.2024,Leipzig (Reudnitz-Thonberg),Breite Straße,Fahrrad geraubt - Zeugenaufruf
30.05.2024,Leipzig (Großzschocher),Bismarckstraße,Beschädigung von Wahlplakaten
30.05.2024,Schkeuditz,Edisonstraße,Brand in Werkstatt
