date,district,street,crime
10.04.2024,Leipzig (Zentrum-Ost),Brandenburger Straße,Fluchtversuch nach Verkehrsunfall unter Alkoholeinfluss
10.04.2024,Leipzig (Gohlis-Süd),Schachtstraße,Einbruch in Wohnung
10.04.2024,Leipzig (Schönefeld-Ost),Friedrich-Wolf-Straße,Brandstiftung an PKW
10.04.2024,Neukieritzsch (Lippendorf),Am Kraftwerk,Unfall mit Fahrrad unter Alkohol
10.04.2024,Torgau,Pablo-Neruda-Ring,Gestohlener Mercedes-AMG
