date,district,street,crime
07.03.2024,Leipzig (Lausen-Grünau),,Einbruch in Altenheim – Tatverdächtige gestellt
07.03.2024,Leipzig (Plagwitz),Erich-Zeigner-Allee,Sozialarbeiter angegriffen
07.03.2024,Leipzig (Wahren),Linkelstraße,Brand in Mehrfamilienhaus
07.03.2024,Leipzig (Leutzsch),Hans-Driesch-Straße,Dachstuhlbrand
07.03.2024,Leipzig (Stötteritz),Sommerfelder Straße,Brand in Gaststätte
07.03.2024,Groitzsch (Großpriesligk),Käferhainer Straße,Verfassungswidrige Graffiti
06.03.2024,Leipzig (Grünau-Ost),Alte Salzstraße,Versuchter Einbruch in Firma
06.03.2024,Leipzig (Plagwitz),Engertstraße,Skateboard mit Elektromotor
06.03.2024,Leipzig (Möckern),,70 Km/h mit dem E-Scooter
06.03.2024,Eilenburg,Am Schanzberg,Mit neun Tonnen Holz überladen
