date,district,street,crime
23.04.2024,Leipzig (Connewitz),Burgstädter Straße,Brand eines Pkw Audi
22.04.2024,Leipzig (Zentrum-Nordwest),Emil-Fuchs-Straße,Flucht vor Verkehrskontrolle
21.04.2024,Oschatz (Lonnewitz),Dresdener Straße,Planenschlitzen
22.04.2024,Leipzig (Mockau-Nord),Kieler Straße,Brand in unbewohntem Haus
19.04.2024,Leipzig (Leutzsch),,Einbruch in Firmengebäude
19.04.2024,Leipzig (Reudnitz-Thonberg),,Einbruch in Praxisräume
19.04.2024,Markranstädt,,Einbruch in Horteinrichtung
21.04.2024,Oschatz,,Einbruch in Sozialeinrichtung
