date,district,street,crime
13.04.2024,Leipzig (Neulindenau),Lützner Straße,Brand eines leerstehenden Fabrikgebäudes
13.04.2024,Leipzig (Zentrum-Nord),Georg-Schumann-Straße,Kellerbrand
13.04.2024,Schkeuditz,B6,Verkehrsunfall mit fünf Verletzten
12.04.2024,Leipzig (Möckern),Diderotstraße,Sachbeschädigung an Enforcement Trailer
12.04.2024,Leipzig (Volkmarsdorf),Eisenbahnstraße,Auseinandersetzung in der Eisenbahnstraße
11.04.2024,Leipzig (Connewitz),Biedermannstraße,Sachbeschädigungen an Polizeigebäude
12.04.2024,Arzberg (Kötten),Liebenwerdaer Straße,Historische Fliegerbombe gesprengt
