date,district,street,crime
19.10.2024,Leipzig (Zentrum-Süd),Anton-Bruckner-Allee,Jugendliche wollten Gruppe ausrauben
17.10.2024 bis 20.10.2024,Leipzig (Südvorstadt),Fichtestraße,Diebstahl Pkw Fiat Ducato
20.10.2024,Eilenburg,Ernst-Thälmann-Siedlung,Vollbrand Schuppen
19.10.2024,Leipzig (Neustadt-Neuschönefeld),,Einbruch in ein Lokal
21.10.2024,Geithain,Bahnhofstraße,Versuchter Einbruch in Pub
21.10.2024,Leipzig (Altlindenau),Odermannstraße,Bei Verkehrskontrolle mehrere Straftaten festgestellt
20.10.2024 16:20 Uhr,Leipzig (Zentrum-Süd),Paul-Gruner-Straße,Vorfahrtsverletzung
