date,district,street,crime
12.05.2024,Leipzig (Engelsdorf),Engelsdorfer Straße,Brand eines Citroën Berlingo
10.05.2024 bis 12.05.2024,Leipzig (Lausen-Grünau),,Einbruch in Jugend- und Altenhilfeverein
12.05.2024,Leipzig (Volkmarsdorf),Eisenbahnstraße,Auseinandersetzung im Bereich Eisenbahnstraße
11.05.2024,Leipzig (Schönefeld-Abtnaundorf),,Einbruch in Lottoladen
12.05.2024,Trebsen/Mulde (Neichen),S 47,Verkehrsunfall mit zwei Verletzten
12.05.2024,Leipzig (Gohlis-Mitte),,Über dreieinhalb Promille
13.05.2024, Leipzig (Mölkau),Sommerfelder Straße / Zweinaundorfer Straße,Unfall mit Verletzten- Zeugenaufruf
