date,district,street,crime
30.07.2024,Leipzig (Connewitz),Karl-Liebknecht-Straße,17-Jährige bei Unfall verstorben
29.07.2024,Cavertitz,,Brand einer Photovoltaikanlage
27.07.2024,Grimma,,Einbruch in Firma
27.07.2024,Leipzig (Zentrum),,Einbruch in Geschäft
26.07.2024,Leipzig (Schleußig),,Einbruch in Kindertagesstätte
27.07.2024,Leipzig (Volkmarsdorf),Eisenbahnstraße,Einbruch in Geschäftsräume
29.07.2024,Colditz,Lastauer Straße,Verwendung von Kennzeichen verfassungswidriger Organisationen
27.07.2024,Schkeuditz (Radefeld),Birkenweg,Peugeot entwendet
28.07.2024 bis 29.07.2024,Wurzen,Friedrich-Ebert-Straße,Diebstahl zweier Wahlplakate
