date,district,street,crime
07.01.2025,Leipzig (Paunsdorf),Zollikofer Straße zur Geißblattstraße,Taxifahrer beraubt
20.12.2024,Leipzig (Neulindenau),Plautstraße,Diebstahl eines Jeep Pick Up
06.01.2025,Leipzig (Zentrum-Südost),Straße des 18. Oktober/ Semmelweißstraße,Motorrad kollidiert mit Rettungswagen - eine Person verletzt
04.01.2025,Eilenburg,An der Schondorfer Mark,Zaunelemente aus Baumarkt gestohlen
07.01.2025,Leipzig (Volkmarsdorf),Eisenbahnstraße,Sachbeschädigung durch Graffiti und Aufruf zu einer Demonstration
06.01.2025,Bad Lausick (Ebersbach),,20-Jährige bei Unfall schwer verletzt
06.01.2025,Taucha,Ahornweg,Transporterfahrer mit über 3 Promille unterwegs
