date,district,street,crime
24.09.2024,Eilenburg,,Einbruch auf Wertstoffhof
25.09.2024,Leipzig (Lößnig),Zwickauer Straße,87-Jähriger betrogen
25.09.2024,Markranstädt (Seebenisch),,Falscher Computervirus
25.09.2024,Leipzig (Zentrum),Petersstraße,Räuberischer Diebstahl
