date,district,street,crime
03.01.2025,Leipzig (Plagwitz),Zschochersche Straße,Tatverdächtiger nach Sachbeschädigung gestellt
14.12.2024,Leipzig (Wahren),Am Hirtenhaus,Stolpersteine beschädigt
03.01.2024,Leipzig (Grünau-Mitte),Ringstraße,Kellerbrände
04.01.2025,Leipzig (Lindenthal),,Brand in Gartenverein
03.01.2025,Leipzig (Burghausen-Rückmarsdorf),Großer Marktweg,Einbrüche in Geschäfte
04.01.2025,Beilrode,Ernst-Thälmann-Straße,Brand eines Einfamilienhauses
05.01.2025,Pegau,,Einbruch in Supermarkt
04.01.2025,Leipzig (Plagwitz),Karl-Heine-Straße,Graffiti an Hauswand
