date,district,street,crime
09.06.2024,Leipzig (Zentrum-Südost),Leibnizweg,Raubdelikt - Tatverdächtiger ermittelt
10.06.2024,Grimma (Roda),Rodaer Dorfplatz,Scheunenbrand
10.06.2024,Torgau (Welsau),,Brand einer Garage
07.06.2024,Leipzig (Zentrum-Südost),Sternwartenstraße,Einbruch in Firma
07.06.2024,Leipzig (Lützschena-Stahmeln),,Einbruch in Kindertagesstätte
09.06.2024,Groitzsch,Graf-Wiprecht-Straße,Diebstahl eines Cross Motorrades
05.06.2024 bis 06.06.2024,Bad Lausick,,Betrug mit Kryptowährung
10.06.2024,Leipzig (Zentrum-Süd),,Falsche Bankmitarbeiterin
07.06.2024,Leipzig (Altlindenau),Lindenauer Markt,Verwenden von Kennzeichen verfassungswidriger Organisationen
10.06.2024,BAB 14,,Zwei Personen bei Unfall schwer verletzt
