date,district,street,crime
20.11.2024,Leipzig (Altlindenau),Rietschelstraße / Priessnitzstraße,Fahrzeugbrände
19.11.2024,Leipzig (Grünau-Nord),Plovdiver Straße,Aufgesprengte Briefkästen
19.11.2024,Delitzsch,Friedrich-Naumann-Straße,Wohnungsbrand
19.11.2024,Leipzig (Grünau-Nord),Plovdiver Straße,Verwenden von Kennzeichen verfassungswidriger Organisationen
19.11.2024,Leipzig (Stötteritz),Papiermühlstraße,Verkehrsunfall zwischen einem Radfahrer und einem Pkw
polizeiliche Feststellung: 20.11.2024,Grimma,Bahnhofstraße,Sachbeschädigung durch Graffiti und Verwenden von Kennzeichen verfassungswidriger Organisationen
Tatzeit: 19.11.2024,Belgern-Schildau (Taura),,Einbruch in Handwerksbetrieb
19.11.2024,Bad Lausick,,Einbruch in Postfiliale
13.11.2024 bis 20.11.2024,Leipzig (Hartmannsdorf-Knautnaundorf),Bösdorfer Ring,Betrugsversuch mit mehreren Mobiltelefonen
15.11.2024,Leipzig (Miltitz),Neue Leipziger Straße,Einbruch in Gaststätte
20.11.2024,Schkeuditz (Dölzig),Döbichauer Straße,Verkehrsunfall mit verletzten Personen
