date,district,street,crime
07.01.2024,Leipzig (Großzschocher),Dieskaustraße,Tatverdächtiger nach Einbruch gestellt
07.01.2024,Schkeuditz (Dölzig),,Einbruch in Tankstelle
07.01.2024,Naunhof,Alte Beuchaer Straße,Brand eines Gebäudes
07.01.2024,Leipzig (Schönefeld-Abtnaundorf),Adenauerallee,Von der Fahrbahn abgekommen
07.01.2024,Leipzig (Thekla),Am Keulenberg,"Verkehrsunfall mit 1,40 Promille"
07.01.2024,Leipzig (Volkmarsdorf),Hermann-Liebmann-Straße,Schaufensterscheibe beschädigt
07.01.2024,Rackwitz,,Versuchter Einbruch - Tatverdächtiger gestellt
