date,district,street,crime
13.12.2024,Borna,Raupenhainer Straße,Einbrecher bei Tat gestellt
13.12.2024,Bad Düben,Gustav-Adolf-Straße,Verkehrsunfall mit einer verletzten Person
14.12.2024,Wurzen (Kühren),Hauptstraße,Brand in Wohnhaus
14.12.2024,Leipzig (Zentrum-Südost),,Betrug mit Gutscheinen
14.12.2024,Leipzig (Lößnig),,Einbruch in Kindergarten
14.12.2024,Leipzig (Zentrum),,Zwei Kinder durch Detektiv gestellt
14.12.2024,Leipzig (Plagwitz),Naumburger Straße,Paketfahrzeug gestohlen und wiedergefunden
13.12.2024,Leipzig (Zentrum-Ost),,Einbruch in Geschäftsräume
14.12.2024,Zwenkau,Pegauer Straße,Zigarettenautomat gesprengt und dabei erwischt
15.12.2024,Eilenburg,Leipziger Straße,Unfall nach Flucht vor Polizeikontrolle
