date,district,street,crime
22.10.2024,Leipzig (Großzschocher),Schönauer Straße,Tankstelle ausgeraubt - Zeugen gesucht
23.10.2024,Leipzig (Heiterblick),Heiterblickallee / Dachsstraße,Gefahrenbremsung von Straßenbahn - Zwei Fahrgäste verletzt
