date,district,street,crime
06.02.2024,Leipzig (Stötteritz),Papiermühlstraße,Verkehrsunfall mit Abschleppfahrzeug
05.02.2024,Leipzig (Engelsdorf),Werkstättenstraße,Diebstahl Fahrzeuganhänger mit Motorboot
06.02.2024,Torgau,Joe-Polowsky-Hain,Brand unter einem Carport
05.02.2024,Leipzig (Zentrum-Nordwest),Waldstraße,Einbruch in Bar
02.02.2024,Leipzig (Wahren),Hopfenbergstraße,Wohnmobil gestohlen
05.02.2024,Leipzig (Gohlis-Mitte),,Einbruch in Werkstatt
05.02.2024,Markkleeberg,,Einbruch in Ärztehaus
06.02.2024,Grimma,Wurzener Straße,Gefährlicher Eingriff in den Straßenverkehr
06.02.2024,Leipzig (Reudnitz-Thonberg),Dresdner Straße,Oberleitung schnellt zu Boden und trifft Passantin
