date,district,street,crime
29.11.2024,Grimma,Köhlerstraße,Sachbeschädigung an der Trafostation des Polizeireviers Grimma
30.11.2024,BAB 38,,Fahrer eines Kleintransporters mit über 3 Promille unterwegs
01.12.2024,BAB 14,,Diebstahl aus Lkw
28.11.2024,Leipzig (Neulindenau),,Einbruch in Physiotherapie
02.12.2024,Taucha,,Ehemaliger Supermarkt beschmiert
