date,district,street,crime
22.11.2024,Machern (Gerichshain),,Schockanruf
22.11.2024,Leipzig (Zentrum-Süd),Münzgasse,Graffiti
23.11.2024,Leipzig (Volkmarsdorf),Wurzner Straße,Kia ausgebrannt
22.11.2024,Markranstädt,,Plane von Sattelanhänger aufgeschlitzt
23.11.2024,Schkeuditz,Ringstraße,Brand eines Transporters
22.11.2024,Taucha,,Einbruch in Praxis
23.11.2024,Leipzig (Schönefeld-Ost),Shukowstraße,Brand im Kleingartenverein
23.11.2024,Leipzig (Grünau-Nord),Jupiterstraße,Frau mit Messer aufgehalten
23.11.2024,Leipzig (Zentrum-Ost),Lagerhofstraße,Einbrecher stürzt bei Tat und verletzt sich
23.11.2024,Lossatal (Dornreichenbach),Straße der Freundschaft,E-Bike-Fahrer schwer verletzt
