date,district,street,crime
24.12.2024,Colditz,Badergasse,Explosionen in Bankfiliale
24.12.2024,Leipzig (Mockau-Nord),Tauchaer Straße,Leiche aus Parthe geborgen
24.12.2024,Zwenkau,,Einbruch in Einfamilienhaus
polizeibekannt: 23.12.2024,Naunhof,,Ausgebrannter Pkw Ford im Wald
20.12.2024,Leipzig (Leutzsch),,Diebstahl von Kabeln an E-Ladesäule
