date,district,street,crime
18.09.2024,Leipzig (Südvorstadt),August-Bebel-Straße,Wohnungsbrand im Mehrfamilienhaus
19.09.2024,BAB 14,,Verfolgungsfahrt auf der Bundesautobahn 14
17.09.2024,Brandis,,Einbruch in Handwerksbetrieb
18.09.2024,Leipzig (Reudnitz-Thonberg),Eilenburger Straße,Diebstahl aus Fahrzeug
17.09.2024-18.09.2024,Leipzig (Eutritzsch),Hohmannstraße,Verwenden von verfassungswidrigen Zeichen und Symbolen
