date,district,street,crime
29.08.2024,Leipzig (Zentrum),,Schwelbrand in Hotelsauna
30.08.2024,Leipzig (Lausen-Grünau),Schrammsteinstraße,Fahrzeugbrand
28.08.2024,Mockrehna,S 16,Waldbrand
28.08.2024,Leipzig (Grünau-Ost),Alte Salzstraße,Sachbeschädigung an Kraftfahrzeugen
29.08.2024,Leipzig (Lindenau),Karl-Heine-Straße,Gäste bepöbelt
28.08.2024,Leipzig (Altlindenau),,Einbruch in eine Gaststätte
29.08.2024,Thallwitz,,Verkehrsunfall mit verletzter Radfahrerin
28.08.2024,Leipzig (Wiederitzsch),Delitzscher Landstraße,Zeugenaufruf nach Unfall mit drei Verletzten
