date,district,street,crime
22.09.2024 gegen 02:40 Uhr,Leipzig (Zentrum Süd),Sachsenbrücke / Anton-Bruckner-Allee,Müllcontainerbrand auf der Sachsenbrücke - Tatverdächtige gestellt
23.09.2024,Beilrode,Zur Falkenstruth,Verkehrsunfall mit drei verletzten Personen
23.09.2024,Leipzig (Lößnig),Bornaische Straße,Einbruch in Restaurant
22.09.2024,Oschatz,,Einbruch in Hotel
22.09.2024,Leipzig (Lößnig),Johannes-R.-Becher-Straße,Motorraddiebstahl - KTM
24.09.2024,Schkeuditz (Kleinliebenau),Horburger Straße / Grüner Winkel,Brand einer Gartenlaube
23.09.2024,Leipzig,,Auseinandersetzung in Erstaufnahmeeinrichtung
