date,district,street,crime
Tatzeit: 25.02.2024,Eilenburg,Rollenstraße,Tatverdächtiger nach Verfolgungsfahrt in Haft
28.02.2024,Grimma (Mutzschen),südwestlich verlaufender Verbindungsweg von Talsperre Döllnitzsee i.R. S38,Quadfahrer bei Unfall verstorben
29.02.2024,Leipzig (Schleußig),Holbeinstraße,Graffiti Sprüher gestellt
28.02.2024,Borna,Sachsenallee/ Am breiten Teich,Schwerer Verkehrsunfall
27.02.2024,Leipzig (Lindenthal),Oswald-Kahnt-Ring,Diebstahl eines Pkw Mercedes
09.02.2024,Leipzig (Eutritzsch),Wittenberger Straße,Zigarettenautomat gesprengt
27.02.2024,Leipzig (Connewitz),Leopoldstraße,Motorrad gestohlen
28.02.2024,Eilenburg,,Container aufgebrochen
27.02.2024,Delitzsch,An den Gärten,Audi A4 gestohlen
27.02.2024,Leipzig (Reudnitz-Thonberg),,Einbruch in Café
