date,district,street,crime
11.02.2024,Liebschützberg (Terpitz),Dorfstraße,Wohnhausbrand
10.02.2024,Leipzig (Zentrum-Nord),Willy-Brandt-Platz,Versuchtes Raubdelikt - Zeugenaufruf
11.02.2024,Leipzig (Zentrum-Südost),Straße des 18. Oktober,Wohnungsbrand
08.02.2024,Leipzig (Grünau-Nord),Plovdiver Straße,Versuchter Raub - Zeugenaufruf
08.02.24,Leipzig (Wiederitzsch),Plantanenweg,Diebstahl eines Motorrades
10.02.2024,Leipzig (Zentrum-Südost),Richard-Lehmann-Straße/Zwickauer Straße,Verkehrsunfall mit Streifenwagen
