date,district,street,crime
20.09.2024,Brandis,Mathildenstraße / Schmiedegasse,Verkehrsunfall mit verletztem Motorradfahrer
20.09.2024,Halle,,Verkehrsunfall mit erheblichen Auswirkungen auf den Straßenverkehr
20.09.2024,Doberschütz,,Gemeinschaftlicher Diebstahl - drei Tatverdächtige gestellt
20.09.2024,Leipzig (Reudnitz-Thonberg),Reichpietschstraße,Auseinandersetzung zwischen mehreren Personen
21.09.2024,Delitzsch,Richard-Wagner-Straße,Mann stürzt mehrere Meter in Tiefe
21.09.2024,Werdau,Bundesstraße 183,Verkehrsunfall mit zwei Verstorbenen
