date,district,street,crime
03.02.2024,Leipzig (Zentrum),Ritterstraße,Tatverdächtiger nach Sachbeschädigung an Pkw gestellt
02.02.2024,Jesewitz,Schulstraße,Einbruch in Vereinsheim und Schulsporthalle
03.02.2024,Leipzig (Grünau-Nord),,Einbruch in Jugendtreff
03.02.2024,Bundesautobahn 9,"Kilometer 112,15",Verkehrsunfall auf der A 9 - vier Verletzte
03.02.2024,Leipzig (Lützschena-Stahmeln),Stahmelner Allee,Verkehrsunfall mit einer verletzten Person
03.02.2024,Markranstädt (Döhlen),Lützner Straße,Verkehrsunfall mit drei Verletzten
03.02.2024,Torgau,,Versammlung in Torgau - Autokorso
