date,district,street,crime
22.03.2024,Grimma,Klosterstraße,Graffiti-Sprayer gestellt
21.03.2024,Leipzig (Zentrum-West),,Diebstahl aus kulturellem Zentrum
22.03.2024,Leipzig (Seehausen),Messe-Allee,Falsche Spendensammler auf der Messe
23.03.2024,Leipzig (Zentrum-Ost),,Einbrecher noch am Tatort gestellt
22.03.2024,Eilenburg,Maxim-Gorki-Platz,Einbruch in Bürokomplex
24.03.2024,Leipzig (Engelsdorf),Arthur-Winkler-Straße 6,Opel Corsa in Brand gesetzt
23.03.2024,Leipzig (Anger-Crottendorf),Wurzner Straße,Radfahrerin nach Unfall schwer verletzt
23.03.2024,Zwenkau (Rüssen-Kleinstorkwitz),Zeitzer Straße,Verkehrsunfall mit drei Verletzten
