date,district,street,crime
05.09.2024,Naunhof,Markt,Versuchter Geldautomatenaufbruch
04.09.2024,Leipzig (Lindenau),Karl-Heine-Straße / Erich-Zeigner-Allee,Unfall mit schwer verletztem Fahrradfahrer
03.09.2024,Leipzig (Mockau-Süd),Dortmunder Straße,Einbruch in Firma
05.09.2024,Schkeuditz (Freiroda),,Brand einer Scheune
04.09.2024,Großweitzschen,,Brand eines Wohnmobiles
