date,district,street,crime
08.11.2024,Pegau (Eisdorf),Alte Handelsstraße,Schwerer Verkehrsunfall im Landkreis Leipzig
09.11.2024,Schkeuditz (Hayna),Haynaer Weg,Gartenlaube in Vollbrand
(polizeibekannt:) 08.11.2024,Leipzig (Gohlis-Nord),Franz-Mehring-Straße,Diebstahl eines Dodge RAM
06.11.2024,Doberschütz (Wöllnau),Dorfstraße,Diebstahl eines Krad Triumph
08.11.2024,(Leipzig (Zentrum-Süd),Karl-Liebknecht-Straße,Einbruch in Bäckerei
08.11.2024,Leipzig,Torgauer Straße Höhe Einfahrt Tankstelle,Unerlaubtes Entfernen vom Unfallort - Zeugenaufruf
09.11.2024,Leipzig (Zentrum-Süd),Petersstraße,Verhetzende Beleidigung
03.11.2024,Leipzig (Neustadt-Neuschönefeld),Eisenbahnstraße,Einbruch in ein Atelier
09.11.2024,Leipzig (Gohlis-Süd),Wolfener Straße,Verkehrsunfall unter Alkoholeinfluss
"09.11.2024,13:30 Uhr",Torgau (Graditz),Gestütsstraße (B 183),Verkehrsunfall auf der Bundesstraße 183
10.11.2024,Leipzig (Connewitz),Bornaische Straße / Ecksteinstraße,Fahrzeugbrand
