date,district,street,crime
15.04.2024,Leipzig (zentrum-West),Käthe-Kollwitz-Straße,Verkehrsunfall mit Straßenbahn
15.04.2024,Leipzig (Grünau-Siedlung),Grünfläche zwischen Kiewer Straße und Uranusstraße,Handtasche geraubt
15.04.2024,Leipzig (Baalsdorf),Kirchweg,Brandstiftung an Pkw
14.04.2024,Markkleeberg,Zarnester Straße,Pkw Diebstahl
15.04.2024,Leipzig (Gohlis-Süd),Georg-Schumann-Straße,Einbruch in Pizzeria
15.04.2024,Eilenburg,B107,Verkehrsunfall mit Beteiligung zweier Lkw
15.04.2024,Polizeidirektion Leipzig,,Unwettergeschehen
14.04.2024,Leipzig (Plagwitz),Erich-Zeigner-Allee,Einbruch in Lagerraum
