date,district,street,crime
02.02.2024,Leipzig (Lausen-Grünau),An der Kotsche,Einbruch in Kultureinrichtung
04.02.2024,Leipzig (Zentrum-Südost),Roßplatz 4,Wertgegenstände entwendet
05.02.2024,Leipzig (Altlindenau),Friesenstraße,Wohnmobil gestohlen
05.02.2024,Leipzig,Bundesstraße 2 | Wundtstraße,Zivile Verkehrsüberwachungsmaßnahmen
