date,district,street,crime
22.08.2024,Wiedemar,,Planenschlitzer am Kapellenberg Ost
21.08.2024,Leipzig (Grünau),Ludwigsburger Straße,Einbruch in Bankfiliale
21.08.2024,Leipzig (Burghausen-Rückmarsdorf),,Einbruch in Mobilfunkgeschäft
22.08.2024,Leipzig (Zentrum),Augustusplatz,Graffiti an Hausfassaden
22.08.2024,Laußig,Bundesstraße 183,Verkehrsunfall mit schwer verletztem Motorradfahrer
22.08.2024,Markranstädt (Räpitz),,Ermittlungen wegen des Verdachts eines versuchten Tötungsdelikts
22.08.2024,Leipzig (Wahren),Travniker Straße/Am Börnchen,Verkehrsunfall mit zwei Verletzten
