date,district,street,crime
14.04.2024,Leipzig (Leutzsch),Am Sportpark 2,Fußballspiel Chemie Leipzig gegen FC Carl Zeiss Jena
11.04.2024,Leipzig (Zentrum-Nord),Tröndlinring,Straßenbahnunfall mit sechs Verletzten
11.04.2024 13:00 Uhr,Markkleeberg (Wachau),Bornaer Chaussee / Apelsteinallee,Unfall mit drei Verletzten
12.04.2024,Leipzig (Zentrum-West),Jahnalle/Coblenzer Straße,Unfall mit schwerverletztem Radfahrer
10.04.2024,Naundorf (Hof),Salbitzer Straße,Diebstahl von Wohnmobil
08.03.2024,Leipzig (Zentrum-Süd),Karl-Liebknecht-Straße,Einbruch in Geschäftsräume
08.03.2024 bis 11.04.2024,Pegau,,Falscher Schauspieler
