date,district,street,crime
27.08.2024,Leipzig (Lausen-Grünau),Ratzelstraße,Unfallflucht unter Alkohol- und Drogeneinfluss
27.08.2024,Leipzig (Neustadt-Neuschönefeld),Eisenbahnstraße,Auseinandersetzung auf der Eisenbahnstraße
27.08.2024,Leipzig (Reudnitz-Thonberg),Prager Straße,Verkehrsunfall mit schwerverletzter Person
27.08.2024,Torgau,Puschkinstraße/ Wollfersdorffstraße,Radfahrer durch Unfall verletzt
27.08.2024,Leipzig (Zentrum-West),Schreberstraße,Unfall auf dem Wasser - Motorboot gegen Kajak
27.08.2024,Löbnitz,Industriestraße/Delitzscher Straße,Motorradfahrer verletzt
27.08.2024,Leipzig (Gohlis-Nord),Hannoversche Straße,Verwenden von Kennzeichen verfassungswidriger Organisationen
27.08.2024,Delitzsch,Zeppelinstraße,Küchenbrand
27.08.2024,Leipzig (Gohlis),Georg-Schumann-Straße,Telefonbetrug
27.08. 2024,Leipzig (Zentrum-West),,Einbruch in Architekturbüro
