date,district,street,crime
22.01.2025,Zwenkau,,Einbruch in Friseur
22.01.2025,Leipzig (Reudnitz-Thonberg und Plagwitz),,Sachbeschädigung an zwei Parteibüros
24.01.2025,Regis-Breitingen,Bahnhofstraße,Fahrkartenautomat gesprengt
22.01.2025,BAB 9,Parplatz Bachfurt West,Versuchter Diebstahl aus Schiffscontainern
16.01.2025,Leipzig (Lößnig),Dürrstraße,Diebstahl eines Motorrades
22.01.2025,Markkleeberg,Robert-Schumann-Straße,Falscher Bankmitarbeiter
24.01.2025,Rötha (Espenhain),,Verkehrsunfall auf der BAB 72
