date,district,street,crime
30.04.2024,Stadtgebiet Leipzig,,Polizeieinsatz zu mehreren Versammlungen am Vorabend des Maifeiertages und am 1. Mai 2024
30.04.2024,Leipzig (Grünau-Mitte),Salzstraße,Ergänzungsmeldung – Brand in Mehrfamilienhaus
30.04.2024,Neukieritzsch,Bornaer Straße,Verkehrsunfall mit schwer verletztem Kind
30.04.2024,Leipzig (Zentrum-Ost),Rosa-Luxemburg-Straße,Sachbeschädigung an Parteibüro
01.05.2024,Waldstück zwischen Wermsdorf und Luppa,S 24,Waldbrand
30.04.2024,Eilenburg,Bergstraße/ Weinbergstraße,Verkehrsunfall mit verletztem Motorradfahrer
30.04.2024,Leipzig (Reudnitz-Thonberg),,Mehrere Graffiti in Reudnitz-Thonberg
01.05.2024,Markranstädt (Kulkwitz),Zwenkauer Straße / Straße der Einheit,Verkehrsunfall mit vier verletzten Personen
01.05.2024,Leipzig (Meusdorf),Leinestraße,Sachbeschädigung an Wahlplakaten
01.05.2024,Bad Lausick,Alte Buchheimer Straße,Alkoholisierter Radfahrer
30.04.2024,Frohburg (Streitwald),Am Grauen Wolf,Transporter überladen
