date,district,street,crime
01.03.2025,Leipzig (Zentrum-Süd),Karl-Liebknecht-Straße/Hohe Straße,Versuchter Raub
02.03.2025,Leipzig (Mockau-Nord),Dortmunder Straße,Einbruch in Geschäft
02.03.2025,Leipzig (Volkmarsdorf),Eisenbahnstraße,Auseinandersetzung in der Eisenbahnstraße
02.03.2025,Kitzscher,August-Bebel-Straße,Brand in Wohnung
02.03.2025,Otterwisch (Großbuch),Dorfstraße,Scheunenbrand
01.03.2025,Leipzig (Connewitz),Stockartstraße,Sachbeschädigung an renoviertem Mehrfamilienhaus
02.03.2025,Leipzig (Lausen-Grünau),Ratzelstraße,Haltestelle besprüht
02.03.2025,Leipzig (Neulindenau),Schomburgkstraße,Verkehrsunfall mit verletztem Motorradfahrer
02.03.2025,Leipzig (Neulindenau),Schomburgkstraße,Verkehrsunfall mit einer verletzten Person
02.03.2025,Eilenburg,B87 / B107,Fahrzeugbrand
02.03.2025,Bundesautobahn 14,"Kilometer 69,75",Pkw auf Autobahn überschlagen
03.03.2025,Leipzig (Zentrum-Südost),Semmelweisstraße,Automatensprengung an der S-Bahnhaltestelle MDR
