date,district,street,crime
14.02.2024,Leipzig (Stötteritz),Oststraße,Brand Wochenendhaus
13.02.2024,Leipzig (Gohlis-Süd),Schorlemmerstraße,Brand im Dachstuhl
14.02.2024,Leipzig (Altlindenau),Geraer Straße,Brand eines Motorrollers
12.02.2024,Leipzig (Neulindenau),Schomburgkstraße,Diebstahl von Fahrzeugteilen
13.02.2024,A 14,Raststätte Muldental Süd,Diebstahl aus Schiffscontainer
13.02.2024,Leipzig (Großzschocher),Dieskaustraße,Einbruch in Geschäft
12.02.2024,Leipzig (Neustadt-Neuschönefeld),Kohlgartenstraße,Motorrad gestohlen
22.01.2024,Wurzen,Kutusowstraße,Verwenden von Kennzeichen verfassungswidriger Organisationen
13.02.2024,Leipzig (Kleinzschocher),Kurt-Kresse-Straße,Sachbeschädigung am Funkstreifenwagen
13.02.2024,Machern (Gerichshain),Leipziger Straße / Angerstraße,Unfall mit zwei Verletzten
