date,district,street,crime
05.04.2024,Leipzig (Plagwitz),Markranstädter Straße,Kellerbrand in einem Mehrfamilienhaus
05.04.2024,Markkleeberg,Koburger Straße/Spinnereistraße/Energiestraße,Motorradfahrer schwer verletzt
05.04.2024,Leipzig (Schönefeld-Ost),Permoserstraße,Fahrradfahrer übersieht Straßenbahn
04.04.2024,Leipzig (Neustadt-Neuschönefeld),,Graffiti an einer Kirche
05.04.2024,Wurzen,Industriestraße,Einbruch in Werkstatt
05.04.2024,Leipzig (Connewitz),,Einbruch in Vereinsheim
05.04.2024,Leipzig (Plagwitz),Zschochersche Straße,Graffiti an Sattelaufliegern
06.04.2024,Leipzig (Connewitz),Meusdorfer Straße,Tödlich verletzt nach Fenstersturz
06.04.2024,Regis-Breitingen,Deutzener Straße,Brand einer Gartenlaube
07.04.2024,Leipzig (Engelsdorf),Hans-Weigel-Straße,Rollerfahrer entzieht sich Verkehrskontrolle
