date,district,street,crime
30.01.2025,Beilrode,,Verkehrsunfall mit Unfallflucht
30.01.2025,Leipzig (Altlindenau),Georg-Schwarz-Straße,Angriff auf Straßenbahnfahrerin
30.01.2025; 16:00 Uhr bis 18:05 Uhr,Leipzig (Zentrum); Markt,,Versammlungsgeschehen
31.01.2025,Leipzig (Probstheida),Lene-Voigt-Straße,Kellerbrand in Mehrfamilienhaus
30.01.2025,Leipzig (Plaußig-Portitz),Melker Weg,Sachbeschädigung an Enforcement-Trailer
30.01.2025,Naunhof,Ladestraße,Sachbeschädigung an Wahlplakaten - Tatverdächtigen gestellt
30.01.2025,Torgau,Eilenburger Straße,Jugendliche bei Unfall schwer verletzt
30.01.2025,Leipzig (Wiederitzsch),Georg-Herwegh-Straße,Diebstahl eines Dodge RAM
31.01.2025,Leipzig (Neulindenau),Lützner Straße,Brand im Keller eines Mehrfamilienhauses in Neulindenau
30.01.2025,Leipzig (Sellerhausen-Stünz),Torgauer Straße,Gefährdung des Straßenverkehrs
