date,district,street,crime
28.08.2024,Leipzig (Grünau-Mitte),,Einbruch in Mobilfunkladen
23.08.2024,Leipzig (Zentrum-Süd),Schwägerichenstraße,Diebstahl Motorrad
27.08.2024,Leipzig (Leutzsch),,SUV bei Autohändler entwendet
28.08.2024,Leipzig (Wiederitzsch),Delitzscher Landstraße,Verkehrsunfall mit drei verletzten Personen
28.08.2024,Belgern-Schildau,B182 / Einmündung Treblitzsch,Verkehrsunfall mit zwei verletzten Personen
28.08.2024,Leipzig (Reudnitz-Thonberg),Dresdner Straße,Verkehrsunfall mit Linienbus
