date,district,street,crime
22.02.2024,Geithain,Straße der Deutschen Einheit,Brand im Mehrfamilienhaus
21.02.2024,Leipzig (Zentrum),Hainstraße,Tatverdächtigen nach Raub gestellt
21.02.2024,Leipzig (Thekla),Freiberger Straße,Fahrraddiebstahl verhindert
21.02.2024,Trebsen/ Mulde,Am Weinberg,Diebstahl eines Audi
