date,district,street,crime
26.05.2024,Borna,Bahnhofstraße,Zeugenaufruf nach Raub
27.05.2024,Leipzig (Gohlis-Nord),Max-Liebermann-Straße,Brand Pkw
27.05.2024,Leipzig (Neustadt-Neuschönefeld),Eisenbahnstraße,Auseinandersetzung zwischen mehreren Personen
26.05.2024,Zwenkau,,Einbruch in Schaustellerwohnwagen
26.05.2024,Torgau,Eilenburger Straße,Radfahrer bei Unfall verletzt
26.05.2024,Torgau,,Einbruch in Supermarkt
26.05.2024,Leipzig (Zentrum-Nord),Tröndlinring/ Gerberstraße,E-Roller Fahrer schwer verletzt
