date,district,street,crime
16.01.2024,Grimma (Großbothen),Wilhelm-Ostwald-Straße,Falsche Mitarbeiter eines Buchverlages
17.01.2024,Großpösna (Seifertshain),Mittelstraße,Verkehrsunfall mit drei Verletzten
17.01.2024,Leipzig (Mölkau),Sommerfelder Straße,Verkehrsunfall mit Verletztem
17.01.2024,Wurzen,,Einbruch in Postfiliale
