date,district,street,crime
28.01.2024,Leipzig (Volkmarsdorf),Ludwigstraße,Fahrzeuge beschmiert
26.01.24,Leipzig (Schönau),Lützner Straße,Raub von Umhängetaschen
28.01.2024,BAB 14,,Verkehrsunfall mit zwei verletzten Personen
28.01.2024,Leipzig (Volkmarsdorf),Eisenbahnstraße,Einbruch in Geschäft
27.01.2024,Wurzen,Freiligrathstraße,Briekasten gesprengt
26.01.2024,Leipzig (Neulindenau),,Türschloss zu Gebetsraum verklebt
28.01.2024,Markkleeberg,Cospudener See,Verkehrsunfall mit verletztem Radfahrer
