date,district,street,crime
09.05.2024,Leipzig (Gohlis-Süd),Boris-Romantschenko-Straße,Hausfriedensbruch am ehemaligen russischen Konsulat
09.05.2024,Leipzig,,Einsatzbilanz zu Himmelfahrt
12.05.2024,Leipzig (Leutzsch),Am Sportpark 2,Fußballspiel BSG Chemie Leipzig gegen BFC Dynamo
07.05.2024,Brandis (Beucha),,Einbruch in Firma
09.05.2024,Leipzig (Engelsdorf),Engelsdorfer Straße,Balkonbrand
08.05.2024,Bennewitz (Deuben),Leipziger Straße,Kraftradfahrer verletzt
08.05.2024,Belgern-Schildau (Schildau),Bahnhofstraße,Fahrradfahrer verletzt
08.05.2024,Grimma,Lausicker Straße (S 11) | S 38,Verkehrsunfall mit zwei Verletzten
08.05.2024,Borna (Eula),Kirschallee,VW Golf gestohlen
08.05.2024,Leipzig (Kleinzschocher),Antonienstraße/Gießerstraße,Fahrlässige Körperverletzung - Zeugenaufruf
