date,district,street,crime
19.08.2024,Schkeuditz,Turnerstraße 7,Raub eines Fahrrades
19.08.2024,Leipzig (Zentrum-Nord),Willy-Brandt-Platz/Richard-Wagner-Straße,Körperliche Auseinandersetzung – Zeugen gesucht
16.08.2024,Leipzig (Südvorstadt),Karl-Liebknecht-Straße,Einbruch in Firmenräume
16.08.2024,Leipzig (Eutritzsch),,Einbruch in Imbiss
17.08.2024,Torgau,,Einbruchsdiebstahl aus Heizungsfirma
16.08.2024,Torgau,,Einbruch in Werkhalle
16.08.2024,Leipzig (Möckern),,Einbruch in Physiotherapie
19.08.2024,Leipzig (Altlindenau),Merseburger Straße,Diebstahl Transporter
19.08.2024,Leipzig (Schönefeld-Abtnaundorf),,Verkehrsunfall mit zwei Verletzten
20.08.2024,Leipzig (Connewitz),Bernhard-Göring-Straße/Bornaische Straße,Brennende Mülltonnen
