date,district,street,crime
12.01.2024,Leipzig (Zentrum-Südost),Straße des 18. Oktober,Tatverdächtiger nach Einbruch gestellt
12.01.2024,Zschepplin,Bundesstraße 2,Unfall mit Viehanhänger
11.01.2024,Leipzig (Mockau-Nord),Komarowstraße | Höhe Hausnummer 1,Zeugenaufruf zu Unfall mit Pedelecfahrer
11.01.2024,BAB 14,Rasthof Muldental Süd | Fahrtrichtung Dresden,Trunkenheit im Verkehr
11.01.2024,Torgau,Gewerbering,Überladener Lkw
