date,district,street,crime
06.03.2025,Leipzig (Volkmarsdorf),Eisenbahnstraße,Durchsuchungsmaßnahmen in Lokal
05.03.2025,Frohburg,,Simsonfahrer nach Flucht gestellt
06.03.2025,Leipzig (Altlindenau),Jahnallee,Kleintransporter fuhr ins Gleisbett
06.03.2025,Wurzen (Kühren),Alte Bahnhofsstraße,Gesprengter Fahrkartenautomat
05.03.2025,Leipzig (Neulindenau),Saalfelder Straße,Einbruch in Büroräume
05.03.2025,Leipzig (Lützschena-Stahmeln),Hallesche Straße,nbruch in Firmenräume
05.03.2025,Leipzig (Kleinzschocher),,Einbruch in Lieferdienst
06.03.2025,Leipzig (Dölitz-Dösen),,Einbruch in Einfamilienhaus
05.03.2025,Leipzig (Grünau-Mitte),,Sachbeschädigung an Wahlkreisbüro
06.03.2025,Schkeuditz (Dölzig),B186,Verkehrsunfall mit zwei verletzten Personen
06.03.2025,Rackwitz (Brodenaundorf),B184,Verkehrsunfall mit verletztem Motorradfahrer
