date,district,street,crime
17.10.2024,Mügeln (Ablaß),,Vollbrand eines Einfamilienhauses
16.10.2024,Leipzig (Wiederitzsch),,Einbruch in Einrichtung
16.10.2024,Delitzsch (Benndorf),,Diebstahl von Maschinen aus Lagerhalle
