date,district,street,crime
22.08.2024,Leipzig (Zentrum-West),Friedrich-Ebert-Straße,Brand in einer Tiefgarage
22.08.2024,Leipzig (Zentrum-West),Lessingstraße,Sachbeschädigung – Tatverdächtige gestellt
21.08.2024,Leipzig (Knautkleeberg-Knauthain),Wildentensteig,Graffiti gesprüht- Tatverdächtige gestellt
21.08.2024,Leipzig (Grünau-Mitte),Stuttgarter Allee,Material in Fahrstuhl angezündet
20.08.2024,Groitzsch (Audigast),,Enkeltrick-Betrug
21.08.2024,Leipzig (Reudnitz-Thonberg),Gerichtsweg/Täubchenweg,Radfahrerin schwer verletzt
21.08.2024,Eilenburg,Kreisstraße 7430 / Eilenburger Straße,Verkehrsunfall mit drei Verletzten
21.08.2024,Leipzig (Gohlis-Süd),Lützowstraße,Auffahrunfall – zwei verletzte Personen
21.08.2024,Großpösna,Seitenstraße,Verkehrsunfall mit verletztem Kind
22.08.2024,Leipzig (Zentrum-Ost),Querstraße,Graffiti an Hausfassade
