date,district,street,crime
26.07.2024,Grimma,Schmidtstraße,Brand eines Einfamilienhauses
27.07.2024,Leipzig (Plagwitz),Nonnenstraße,Herbeiführen einer Sprengstoffexplosion
27.07.2024,Leipzig (Südvorstadt),Kochstraße,Tatverdächtiger bei Einbruch gestellt
27.07.2024,Leipzig (Zentrum),Martin-Luther-Ring,Wahlplakate beschädigt - Tatverdächtige gestellt
24.07.2024,Leipzig (Eutritzsch),Dieselstraße,Einbruch in Mercedes-Benz
27.07.2024,Leipzig (Leutzsch),Hans-Driesch-Straße / Otto-Schmiedt-Straße,Verkehrsunfall mit einer verletzten Person
27.07.2024,Jesewitz,Leipziger Straße / Alte Dorfstraße,Verkehrsunfall auf Bundesstraße 87
27.07.2024,Leipzig (Zentrum-Süd),Schwägrichenstraße,Explosion eines Fahrrad-Akkus
27.07.2024,Leipzig (Zentrum-Ost),Rosa-Luxemburg-Straße / Hans-Poeche-Straße,Unfall mit einem verletzten Motorradfahrer
27.07.2024,Grimma,Bahnhofstraße,Volksverhetzung in Parkanlage
26.07.2024,Leipzig (Zentrum-Nordwest),,Einbruch in Pub
27.07.2024,Grimma (Mutzschen),,Kupferrohe entwendet
27.07.2024,Frohburg (Eschefeld),Eschefelder Hauptstraße/ Zum Teichdamm/ Steinigtweg,Motorradfahrer bei Unfall schwer verletzt
